text_clean;text_tokens
kok setiap mau msuk ke tix suruh coba lagi ada apa yah udah smpe di uninstal masih sama tulisannya coba lagi trustolong diperbaiki mkshh;['kok', 'setiap', 'mau', 'msuk', 'ke', 'tix', 'suruh', 'coba', 'lagi', 'ada', 'apa', 'yah', 'udah', 'smpe', 'di', 'uninstal', 'masih', 'sama', 'tulisannya', 'coba', 'lagi', 'trustolong', 'diperbaiki', 'mkshh']
saya daritadi bukaa selalu ada kendala kenapa ya;['saya', 'daritadi', 'bukaa', 'selalu', 'ada', 'kendala', 'kenapa', 'ya']
aplikasi suka ngebug padahal jaringan bagus;['aplikasi', 'suka', 'ngebug', 'padahal', 'jaringan', 'bagus']
jadwal mepet aplikasi error apakah bisa refund tiket;['jadwal', 'mepet', 'aplikasi', 'error', 'apakah', 'bisa', 'refund', 'tiket']
apalaahh aplikasi nya gabisa dibuka mana udh beli tikett lagii buat jam hari ini;['apalaahh', 'aplikasi', 'nya', 'gabisa', 'dibuka', 'mana', 'udh', 'beli', 'tikett', 'lagii', 'buat', 'jam', 'hari', 'ini']
ini knp y baru instal gk bisa dibuka udah lebih dr menit tulisan tix id background biru dongker gk berubahubah stuk disitu aja drtd update ada pop up bertuliskan ada kendala coba ulangi beberapa saat lagi ps bintang akan di rubah jika apk sudah bisa dibuka;['ini', 'knp', 'y', 'baru', 'instal', 'gk', 'bisa', 'dibuka', 'udah', 'lebih', 'dr', 'menit', 'tulisan', 'tix', 'id', 'background', 'biru', 'dongker', 'gk', 'berubahubah', 'stuk', 'disitu', 'aja', 'drtd', 'update', 'ada', 'pop', 'up', 'bertuliskan', 'ada', 'kendala', 'coba', 'ulangi', 'beberapa', 'saat', 'lagi', 'ps', 'bintang', 'akan', 'di', 'rubah', 'jika', 'apk', 'sudah', 'bisa', 'dibuka']
aplikasi error saat pesan tiket saat ini aplikasi lemot di saat orang mau nonton pesan tiket tak bisa;['aplikasi', 'error', 'saat', 'pesan', 'tiket', 'saat', 'ini', 'aplikasi', 'lemot', 'di', 'saat', 'orang', 'mau', 'nonton', 'pesan', 'tiket', 'tak', 'bisa']
sulit di akses;['sulit', 'di', 'akses']
lemot banget aplikasinya;['lemot', 'banget', 'aplikasinya']
mumpung ada promo mau nonton eh pas beli susah dapet tiket nya loading terus tingaktin lagi dong;['mumpung', 'ada', 'promo', 'mau', 'nonton', 'eh', 'pas', 'beli', 'susah', 'dapet', 'tiket', 'nya', 'loading', 'terus', 'tingaktin', 'lagi', 'dong']
ada kendala cobalah beberapa saat lagi setiap buka aplikasi slalu seperti itu;['ada', 'kendala', 'cobalah', 'beberapa', 'saat', 'lagi', 'setiap', 'buka', 'aplikasi', 'slalu', 'seperti', 'itu']
ini sih aplikasi bagus tapi kok bisa ya ada orang mau beli orderan film di tanggal jauh hari sebelum tayang loadingnya itunya loh mutar mutar terus terus lamaa lagi;['ini', 'sih', 'aplikasi', 'bagus', 'tapi', 'kok', 'bisa', 'ya', 'ada', 'orang', 'mau', 'beli', 'orderan', 'film', 'di', 'tanggal', 'jauh', 'hari', 'sebelum', 'tayang', 'loadingnya', 'itunya', 'loh', 'mutar', 'mutar', 'terus', 'terus', 'lamaa', 'lagi']
aplikasi error loading stuck nggak bisa beli tiket pas install ulang stuck di loading home screen tix doang;['aplikasi', 'error', 'loading', 'stuck', 'nggak', 'bisa', 'beli', 'tiket', 'pas', 'install', 'ulang', 'stuck', 'di', 'loading', 'home', 'screen', 'tix', 'doang']
tolong perbaiki skrg dong kok aplikasi nya ngebug gak bisa dibuka stuck di logo tix nya sejak open app nya;['tolong', 'perbaiki', 'skrg', 'dong', 'kok', 'aplikasi', 'nya', 'ngebug', 'gak', 'bisa', 'dibuka', 'stuck', 'di', 'logo', 'tix', 'nya', 'sejak', 'open', 'app', 'nya']
apk sampah gak bisa dipake;['apk', 'sampah', 'gak', 'bisa', 'dipake']
aplikasi cacat giliran ada promo malah crash kocag;['aplikasi', 'cacat', 'giliran', 'ada', 'promo', 'malah', 'crash', 'kocag']
eror terus mau pesan gagal terus dicoba di semua hape sama saja;['eror', 'terus', 'mau', 'pesan', 'gagal', 'terus', 'dicoba', 'di', 'semua', 'hape', 'sama', 'saja']
kendala terus sampe mau nonton film pun gabisa tolong banget nih ya lu ubah appnya biar ga kendala lagi;['kendala', 'terus', 'sampe', 'mau', 'nonton', 'film', 'pun', 'gabisa', 'tolong', 'banget', 'nih', 'ya', 'lu', 'ubah', 'appnya', 'biar', 'ga', 'kendala', 'lagi']
apk rusak error terus ga kebuka buka;['apk', 'rusak', 'error', 'terus', 'ga', 'kebuka', 'buka']
udh pesen tiket udh bayar tapi tibatiba kursinya udh di booking duluan uang ga balik gmn si;['udh', 'pesen', 'tiket', 'udh', 'bayar', 'tapi', 'tibatiba', 'kursinya', 'udh', 'di', 'booking', 'duluan', 'uang', 'ga', 'balik', 'gmn', 'si']
apliaksi nya berat plus lemottt;['apliaksi', 'nya', 'berat', 'plus', 'lemottt']
aplikasi bikin promo tiket gk jelas gk bisa di buy kocak promo doang buy on get on;['aplikasi', 'bikin', 'promo', 'tiket', 'gk', 'jelas', 'gk', 'bisa', 'di', 'buy', 'kocak', 'promo', 'doang', 'buy', 'on', 'get', 'on']
apaa ni aplikasinya uang saya ga ada di refund baik pihak dana dan aplikasi tix id nya dari tanggal april sya chat udah kirim bukti ga ada satupun mau tanggung jawabmalahan dipersulit parah sekali;['apaa', 'ni', 'aplikasinya', 'uang', 'saya', 'ga', 'ada', 'di', 'refund', 'baik', 'pihak', 'dana', 'dan', 'aplikasi', 'tix', 'id', 'nya', 'dari', 'tanggal', 'april', 'sya', 'chat', 'udah', 'kirim', 'bukti', 'ga', 'ada', 'satupun', 'mau', 'tanggung', 'jawabmalahan', 'dipersulit', 'parah', 'sekali']
eror melulu ngak bisa pesan;['eror', 'melulu', 'ngak', 'bisa', 'pesan']
top markotop mau nonton di seluruh lokasi tinggal cek aja dan bayar pun lebih mudah;['top', 'markotop', 'mau', 'nonton', 'di', 'seluruh', 'lokasi', 'tinggal', 'cek', 'aja', 'dan', 'bayar', 'pun', 'lebih', 'mudah']
ada apa ini kok mau mesen tiket gak bisa bisa lama banget prosesnya padahal sinyal bagus;['ada', 'apa', 'ini', 'kok', 'mau', 'mesen', 'tiket', 'gak', 'bisa', 'bisa', 'lama', 'banget', 'prosesnya', 'padahal', 'sinyal', 'bagus']
